year,sample,serial,cbserial,hhwt,cluster,strata,gq,pernum,perwt,sex,age,ageorig,hcovany,educ,educd,empstat,empstatd,labforce,occ,ind,uhrswork,inctot,incwage,poverty
2023,2023 acs,196302,2023001040642,78,2023001963021,830106,households under 1970 definition,6,91,female,8,,no health insurance coverage,nursery school to grade 4,grade 2,n/a,n/a,n/a,0,0,n/a,9999999,n/a,379
2023,2023 acs,545122,2023000193765,42,2023005451221,10019,households under 1970 definition,1,41,female,57,,no health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",3255,8290,40,76400,79000,491
2023,2023 acs,1399244,2023001442208,47,2023013992441,4900249,households under 1970 definition,1,47,male,59,,with health insurance coverage,5+ years of college,master's degree,employed,at work,"yes, in the labor force",2205,7870,60,81000,81000,465
2023,2023 acs,1495128,2023000253269,40,2023014951281,60055,households under 1970 definition,3,37,female,94,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,58200,0,501
2023,2023 acs,994592,2023000329402,42,2023009945921,300237,households under 1970 definition,5,56,male,15,,with health insurance coverage,grade 9,grade 9,n/a,n/a,n/a,0,0,n/a,7000,n/a,157
2023,2023 acs,1151631,2023000418986,79,2023011516311,290142,households under 1970 definition,1,80,female,54,,with health insurance coverage,2 years of college,"associate's degree, type not specified",employed,at work,"yes, in the labor force",3323,8191,32,60000,60000,501
2023,2023 acs,1437985,2023001274960,72,2023014379851,7000051,households under 1970 definition,1,72,male,70,,with health insurance coverage,grade 12,regular high school diploma,employed,at work,"yes, in the labor force",440,8590,40,141300,109000,501
2023,2023 acs,547,2023010026842,19,2023000005471,180101,group quarters--institutions,1,19,female,68,,with health insurance coverage,grade 10,grade 10,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,10000,0,0
2023,2023 acs,713228,2023000891003,290,2023007132281,170426,households under 1970 definition,4,239,male,23,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",1460,3570,40,80000,80000,460
2023,2023 acs,644076,2023001200581,75,2023006440761,50124,households under 1970 definition,1,76,male,55,,with health insurance coverage,5+ years of college,master's degree,employed,at work,"yes, in the labor force",1410,7290,50,262000,262000,501
2023,2023 acs,113276,2023000178280,60,2023001132761,377506,households under 1970 definition,1,60,male,44,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",735,6570,55,65000,65000,418
2023,2023 acs,913557,2023000298524,53,2023009135571,311136,households under 1970 definition,1,52,female,65,,with health insurance coverage,grade 12,"some college, but less than 1 year",employed,at work,"yes, in the labor force",3610,9480,12,88000,40000,501
2023,2023 acs,181607,2023000887729,83,2023001816071,652406,households under 1970 definition,3,95,male,35,,with health insurance coverage,n/a or no schooling,no schooling completed,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,13000,0,501
2023,2023 acs,1134690,2023010150790,20,2023011346901,170142,other group quarters,1,20,male,58,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,11000,0,0
2023,2023 acs,1447455,2023000038353,59,2023014474551,2250053,households under 1970 definition,1,59,female,60,,with health insurance coverage,grade 12,"some college, but less than 1 year",employed,at work,"yes, in the labor force",4920,7071,40,172000,0,501
2023,2023 acs,1135913,2023000001190,131,2023011359131,11242,households under 1970 definition,1,131,male,72,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,19800,0,129
2023,2023 acs,199022,2023001069055,77,2023001990221,370706,households under 1970 definition,5,71,female,30,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,0,0,350
2023,2023 acs,326310,2023000421343,68,2023003263101,110112,households under 1970 definition,3,71,male,32,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",3930,7680,40,40000,40000,501
2023,2023 acs,1240492,2023000565590,50,2023012404921,200347,households under 1970 definition,2,53,male,29,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",7810,4971,40,52000,52000,258
2023,2023 acs,1455921,2023000426170,72,2023014559211,2110253,households under 1970 definition,1,72,male,78,,with health insurance coverage,"grade 5, 6, 7, or 8",grade 6,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,41950,0,274
2023,2023 acs,902786,2023000099214,44,2023009027861,410836,households under 1970 definition,1,44,female,49,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",not in labor force,not in labor force,"no, not in the labor force",3820,9570,n/a,0,0,39
2023,2023 acs,740917,2023000508918,25,2023007409171,50127,households under 1970 definition,2,33,female,50,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",120,6871,45,90040,90000,501
2023,2023 acs,555766,2023001315324,17,2023005557661,40019,households under 1970 definition,2,20,male,36,,with health insurance coverage,grade 11,grade 11,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,0,0,154
2023,2023 acs,607498,2023000962245,135,2023006074981,100022,households under 1970 definition,2,84,female,56,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,0,0,501
2023,2023 acs,78277,2023010012915,84,2023000782771,374606,other group quarters,1,84,female,56,,with health insurance coverage,5+ years of college,doctoral degree,employed,at work,"yes, in the labor force",2205,7870,55,120000,120000,0
2023,2023 acs,932541,2023000645773,181,2023009325411,430936,households under 1970 definition,3,182,female,6,,with health insurance coverage,nursery school to grade 4,kindergarten,n/a,n/a,n/a,0,0,n/a,9999999,n/a,90
